project,version,file,has_provenance,publisher
boto3,1.43.15,boto3-1.43.15-py3-none-any.whl,False,
boto3,1.43.15,boto3-1.43.15.tar.gz,False,
urllib3,2.7.0,urllib3-2.7.0-py3-none-any.whl,True,GitHub
urllib3,2.7.0,urllib3-2.7.0.tar.gz,True,GitHub
botocore,1.43.15,botocore-1.43.15-py3-none-any.whl,False,
botocore,1.43.15,botocore-1.43.15.tar.gz,False,
requests,2.34.2,requests-2.34.2-py3-none-any.whl,True,GitHub
requests,2.34.2,requests-2.34.2.tar.gz,True,GitHub
setuptools,82.0.1,setuptools-82.0.1-py3-none-any.whl,False,
setuptools,82.0.1,setuptools-82.0.1.tar.gz,False,
certifi,2026.5.20,certifi-2026.5.20-py3-none-any.whl,True,GitHub
certifi,2026.5.20,certifi-2026.5.20.tar.gz,True,GitHub
idna,3.16,idna-3.16-py3-none-any.whl,True,GitHub
idna,3.16,idna-3.16.tar.gz,True,GitHub
typing-extensions,4.15.0,typing_extensions-4.15.0-py3-none-any.whl,True,GitHub
typing-extensions,4.15.0,typing_extensions-4.15.0.tar.gz,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp310-cp310-macosx_10_9_universal2.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp310-cp310-manylinux2014_aarch64.manylinux_2_17_aarch64.manylinux_2_28_aarch64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp310-cp310-manylinux2014_ppc64le.manylinux_2_17_ppc64le.manylinux_2_28_ppc64le.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp310-cp310-manylinux2014_s390x.manylinux_2_17_s390x.manylinux_2_28_s390x.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp310-cp310-manylinux_2_31_armv7l.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp310-cp310-manylinux_2_31_riscv64.manylinux_2_39_riscv64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp310-cp310-musllinux_1_2_aarch64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp310-cp310-musllinux_1_2_armv7l.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp310-cp310-musllinux_1_2_ppc64le.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp310-cp310-musllinux_1_2_riscv64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp310-cp310-musllinux_1_2_s390x.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp310-cp310-musllinux_1_2_x86_64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp310-cp310-win32.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp310-cp310-win_amd64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp310-cp310-win_arm64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp311-cp311-macosx_10_9_universal2.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp311-cp311-manylinux2014_aarch64.manylinux_2_17_aarch64.manylinux_2_28_aarch64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp311-cp311-manylinux2014_ppc64le.manylinux_2_17_ppc64le.manylinux_2_28_ppc64le.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp311-cp311-manylinux2014_s390x.manylinux_2_17_s390x.manylinux_2_28_s390x.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp311-cp311-manylinux_2_31_armv7l.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp311-cp311-manylinux_2_31_riscv64.manylinux_2_39_riscv64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp311-cp311-musllinux_1_2_aarch64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp311-cp311-musllinux_1_2_armv7l.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp311-cp311-musllinux_1_2_ppc64le.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp311-cp311-musllinux_1_2_riscv64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp311-cp311-musllinux_1_2_s390x.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp311-cp311-musllinux_1_2_x86_64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp311-cp311-win32.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp311-cp311-win_amd64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp311-cp311-win_arm64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp312-cp312-macosx_10_13_universal2.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp312-cp312-manylinux2014_aarch64.manylinux_2_17_aarch64.manylinux_2_28_aarch64.whl,True,GitHub
charset-normalizer,3.4.7,charset_normalizer-3.4.7-cp312-cp312-manylinux2014_ppc64le.manylinux_2_17_ppc64le.manylinux_2_28_ppc64le.whl,True,GitHub
